incident_rate_per_100k,city,season,year
19926.41822929029,Park City,Winter,2018
5350.223546944859,Pleasant Grove,Fall,2010
5110.722437968754,Pleasant Grove,Fall,2011
3641.743818117895,Pleasant Grove,Fall,2012
3299.7941253225854,Pleasant Grove,Fall,2013
3441.45229286759,Pleasant Grove,Fall,2014
3384.0396973887578,Pleasant Grove,Fall,2015
3763.141865946347,Pleasant Grove,Fall,2016
3801.6099714359907,Pleasant Grove,Fall,2017
4726.053886811912,Pleasant Grove,Fall,2018
5019.374068554396,Pleasant Grove,Spring,2010
4977.321910295556,Pleasant Grove,Spring,2011
3310.6761982889957,Pleasant Grove,Spring,2012
3543.364166207556,Pleasant Grove,Spring,2013
3260.7760474920415,Pleasant Grove,Spring,2014
1903.5223297811763,Pleasant Grove,Spring,2015
3665.157172744366,Pleasant Grove,Spring,2016
3682.160477797974,Pleasant Grove,Spring,2017
4414.077607322419,Pleasant Grove,Spring,2018
5633.3830104321905,Pleasant Grove,Summer,2010
4852.814751133905,Pleasant Grove,Summer,2011
3817.531934841205,Pleasant Grove,Summer,2012
3734.740626902891,Pleasant Grove,Summer,2013
3573.3746307608476,Pleasant Grove,Summer,2014
3804.3330892920094,Pleasant Grove,Summer,2015
4287.492386324515,Pleasant Grove,Summer,2016
4204.102830433653,Pleasant Grove,Summer,2017
4764.728632203171,Pleasant Grove,Summer,2018
4354.694485842027,Pleasant Grove,Winter,2010
4918.0327868852455,Pleasant Grove,Winter,2011
3650.5332239540603,Pleasant Grove,Winter,2012
3236.001971757474,Pleasant Grove,Winter,2013
3232.0972783848115,Pleasant Grove,Winter,2014
2963.7463054855066,Pleasant Grove,Winter,2015
3310.2936892561106,Pleasant Grove,Winter,2016
3365.359646844975,Pleasant Grove,Winter,2017
3369.8594817584117,Pleasant Grove,Winter,2018
3751.720972923359,Price,Fall,2011
3858.595194085028,Price,Fall,2012
3554.419793239633,Price,Fall,2013
3741.4160549372486,Price,Fall,2014
3480.444922856118,Price,Fall,2015
2511.415525114155,Price,Fall,2016
3334.1357727491577,Price,Fall,2017
2799.449288664525,Price,Spring,2011
3800.8317929759705,Price,Spring,2012
3391.7992798234404,Price,Spring,2013
