column 1,address_1,case_number,city,clearance_type,country,created_at,day_of_week,hour_of_day,incident_datetime,incident_description,incident_id,incident_type_primary,latitude,location,longitude,parent_incident_type,state,updated_at,zip
572,1 Block E 800 S,17-C10570,LEWISTON,,,01/09/2018 06:29:45 PM,Monday,16,11/20/2017 04:43:02 PM,Animal Problem,831208300,[CCSO] ANIMAL PROBLEM,41.9614,"{'type': 'Point', 'coordinates': [-111.856, 41.9614]}",-111.856,Community Policing,UT,01/27/2018 01:49:43 PM,
573,1 Block N GATEWAY DR,17-C10992,PROVIDENCE,,,01/19/2018 05:29:28 PM,Tuesday,11,12/05/2017 11:10:40 AM,Susp Person,831957135,[CCSO] SUSP PERSON,41.7093,"{'type': 'Point', 'coordinates': [-111.83, 41.7093]}",-111.83,Pedestrian Stop,UT,01/30/2018 02:48:19 AM,
574,2300 Block S SR 165,12-C1302,MILLVILLE,,,03/01/2012 08:49:43 PM,Monday,12,02/20/2012 12:02:00 PM,C/S Drugs,101380359,[CCSO] C/S DRUGS,41.691162,"{'type': 'Point', 'coordinates': [-111.83422, 41.691162]}",-111.83422,Drugs,UT,03/12/2012 12:02:02 PM,
575,3000 Block S 1000 W,12-C1304,NIBLEY,,,03/01/2012 08:49:43 PM,Monday,10,02/20/2012 10:02:00 AM,Animal Problem,101380360,[CCSO] ANIMAL PROBLEM,41.677818,"{'type': 'Point', 'coordinates': [-111.858005, 41.677818]}",-111.858005,Community Policing,UT,04/20/2012 12:02:27 PM,
576,100 Block W 100 S,12-C1330,WELLSVILLE,,,03/01/2012 08:49:43 PM,Tuesday,14,02/21/2012 02:02:00 PM,VIN Inspection,101380361,[CCSO] VIN INSPECTION,41.636761,"{'type': 'Point', 'coordinates': [-111.938299, 41.636761]}",-111.938299,Traffic,UT,03/27/2012 12:02:12 PM,
577,900 Block SHADOW CREST LN,12-C1305,NIBLEY,,,03/01/2012 08:49:43 PM,Monday,12,02/20/2012 12:02:00 PM,Threats,101380362,[CCSO] THREATS,41.684475,"{'type': 'Point', 'coordinates': [-111.8556, 41.684475]}",-111.8556,Disorder,UT,03/09/2012 01:00:30 PM,
578,MP 11 US 89 & 91,12-C1331,CACHE COUNTY,,,03/01/2012 08:49:43 PM,Tuesday,14,02/21/2012 02:02:29 PM,"""Assist,Agency""",101380363,"""[CCSO] ASSIST,AGENCY""",41.568185,"{'type': 'Point', 'coordinates': [-111.96663, 41.568185]}",-111.96663,Community Policing,UT,03/06/2012 01:00:30 PM,
579,900 Block SHADOW CREST LN,12-C1332,NIBLEY,,,03/01/2012 08:49:43 PM,Tuesday,18,02/21/2012 06:02:00 PM,Keep the Peace,101380365,[CCSO] KEEP THE PEACE,41.684475,"{'type': 'Point', 'coordinates': [-111.8556, 41.684475]}",-111.8556,Community Policing,UT,03/11/2012 12:01:49 PM,
580,300 Block W MEADOW VIEW LN,18-C3635,NIBLEY,,,05/03/2018 06:39:04 AM,Wednesday,19,05/02/2018 07:41:24 PM,VIN Inspection,848436736,[CCSO] VIN INSPECTION,41.6622,"{'type': 'Point', 'coordinates': [-111.842, 41.6622]}",-111.842,Traffic,UT,05/31/2018 01:55:37 AM,
581,700 Block CANYON VIEW DR,12-C1307,HYRUM,,,03/01/2012 08:49:43 PM,Monday,16,02/20/2012 04:02:00 PM,"""Assist,Citizen""",101380367,"""[CCSO] ASSIST,CITIZEN""",41.626223,"{'type': 'Point', 'coordinates': [-111.832862, 41.626223]}",-111.832862,Community Policing,UT,04/04/2012 12:01:54 PM,
582,900 Block W 300 N,12-C1334,HYRUM,,,03/01/2012 08:49:43 PM,Tuesday,17,02/21/2012 05:02:14 PM,"""Assist,Citizen""",101380368,"""[CCSO] ASSIST,CITIZEN""",41.640923,"{'type': 'Point', 'coordinates': [-111.881202, 41.640923]}",-111.881202,Community Policing,UT,03/12/2012 12:02:02 PM,
