incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type
854841304,18UV00951,05/19/2018 05:05:44 PM,PROPERTY-LOST,Description: Property-Lost,,1 Block UVUCL,,UTAH VALLEY U,UT,,,40.2792,-111.718,05/22/2018 06:43:12 AM,06/02/2018 05:08:04 AM,POINT (-111.718 40.2792),17,Saturday,Property Crime
731069515,15UV01356,09/14/2015 01:09:46 PM,CITIZEN ASSIST,Description: Citizen Assist,,UVGT,,UTAH VALLEY U,UT,,,40.2785,-111.71,09/19/2015 08:05:15 AM,09/24/2015 08:08:40 AM,POINT (-111.71 40.2785),13,Monday,Community Policing
839450274,18UV00572,03/24/2018 07:03:48 PM,AGENCY ASSIST,Description: Agency Assist,,W CENTER ST & N GENEVA RD,,OREM,UT,,,40.2972,-111.734,03/27/2018 06:31:23 AM,04/07/2018 09:21:02 AM,POINT (-111.734 40.2972),19,Saturday,Community Policing
836621788,18UV00468,03/06/2018 09:03:57 AM,CITIZEN ASSIST,Description: Citizen Assist,,UVSC,,UTAH VALLEY U,UT,,,40.2788,-111.714,03/09/2018 07:05:17 AM,03/20/2018 11:01:28 AM,POINT (-111.714 40.2788),9,Tuesday,Community Policing
86467969,11UV01767,11/01/2011 04:11:28 PM,PROPERTY-LOST,Description: Property-Lost,,GT,,UTAH VALLEY U,UT,,,40.2785307484,-111.7103667,11/09/2011 09:04:53 AM,11/13/2011 09:05:03 AM,POINT (-111.710367 40.278531),16,Tuesday,Property Crime
864113964,18UV01263,07/14/2018 06:07:23 PM,AGENCY ASSIST,Description: Agency Assist,,W UNIVERSITY PKWY & S SANDHILL RD,,OREM,UT,,,40.275,-111.713,07/17/2018 06:03:17 AM,07/26/2018 08:07:10 PM,POINT (-111.713 40.275),18,Saturday,Community Policing
743154442,16UV00017,01/04/2016 05:01:39 PM,AGENCY ASSIST,Description: Agency Assist,,400 Block S STATE ST,,OREM,UT,,,40.289,-111.691,01/07/2016 06:41:05 AM,01/17/2016 09:03:16 AM,POINT (-111.691 40.289),17,Monday,Community Policing
72092073,11UV00926,06/24/2011 10:06:08 PM,SUSPICIOUS,Description: Suspicious,,LTL,,UTAH VALLEY U,UT,,,40.1848677484,-111.5450277,07/01/2011 08:04:45 AM,07/06/2011 08:04:48 AM,POINT (-111.545028 40.184868),22,Friday,Community Policing
838209966,18UV00519,03/13/2018 01:03:44 PM,CITIZEN ASSIST,Description: Citizen Assist,,UVLA,,UTAH VALLEY U,UT,,,40.2802,-111.717,03/16/2018 06:49:42 AM,03/27/2018 07:00:40 AM,POINT (-111.717 40.2802),13,Tuesday,Community Policing
93256947,12UV00008,01/02/2012 11:01:06 PM,WARRANT SERVED FOR OTHER AGENC,Description: Warrant Served For Other Agenc,,S COLLEGE DR,,UTAH VALLEY U,UT,,,40.2762207484,-111.7083567,01/09/2012 09:05:18 AM,01/14/2012 09:05:20 AM,POINT (-111.708357 40.276221),23,Monday,Community Policing
725730553,15UV01056,07/26/2015 03:07:45 PM,AGENCY ASSIST,Description: Agency Assist,,UVL3,,UTAH VALLEY U,UT,,,40.2801,-111.72,07/30/2015 08:20:05 AM,08/08/2015 08:13:43 AM,POINT (-111.72 40.2801),15,Sunday,Community Policing
731457437,15UV01399,09/20/2015 10:09:53 AM,AGENCY ASSIST,Description: Agency Assist,,S STATE ST & E UNIVERSITY PKWY,,OREM,UT,,,40.2734,-111.685,09/24/2015 08:09:50 AM,10/01/2015 08:16:48 AM,POINT (-111.685 40.2734),10,Sunday,Community Policing
861012734,18UV01142,06/21/2018 03:06:04 PM,SUSPICIOUS,Description: Suspicious,,UVL4,,UTAH VALLEY U,UT,,,40.2807,-111.718,06/24/2018 06:11:32 AM,07/05/2018 05:47:44 AM,POINT (-111.718 40.2807),15,Thursday,Community Policing
831617175,18UV00060,01/12/2018 09:01:04 PM,SUSPICIOUS,Description: Suspicious,,UVLI,,UTAH VALLEY U,UT,,,40.2811,-111.716,01/15/2018 07:12:25 AM,01/29/2018 06:08:25 PM,POINT (-111.716 40.2811),21,Friday,Community Policing
800088734,17UV00627,03/30/2017 03:03:38 AM,CITIZEN ASSIST,Description: Citizen Assist,,UVBDL,,UTAH VALLEY U,UT,,,40.3235,-111.68,04/02/2017 10:06:21 AM,04/12/2017 10:14:54 AM,POINT (-111.68 40.3235),3,Thursday,Community Policing
79986861,11UV01320,09/06/2011 10:09:04 AM,DISORDERLY CONDUCT,Description: Disorderly Conduct,,BA,,UTAH VALLEY U,UT,,,40.2770207484,-111.7140167,09/13/2011 08:04:48 AM,09/16/2011 08:05:30 AM,POINT (-111.714017 40.277021),10,Tuesday,Disorder
861376367,18UV01161,06/25/2018 01:06:13 PM,CITIZEN DISPUTE,Description: Citizen Dispute,,UVL6,,UTAH VALLEY U,UT,,,40.2813,-111.719,06/28/2018 06:36:04 AM,07/08/2018 02:22:32 PM,POINT (-111.719 40.2813),13,Monday,Community Policing
77840108,11UV01172,08/11/2011 08:08:39 PM,CITIZEN ASSIST,Description: Citizen Assist,,LI,,UTAH VALLEY U,UT,,,40.2810907484,-111.7164367,08/23/2011 08:04:52 AM,08/23/2011 08:05:04 AM,POINT (-111.716437 40.281091),20,Thursday,Community Policing
82666496,11UV01477,09/21/2011 05:09:58 PM,TRAFFIC OFFENSE,Description: Traffic Offense,,M22,,UTAH VALLEY U,UT,,,40.2801307484,-111.7072367,09/28/2011 08:04:57 AM,10/03/2011 08:04:56 AM,POINT (-111.707237 40.280131),17,Wednesday,Traffic
85881698,11UV01719,10/26/2011 07:10:39 PM,ALARM,Description: Alarm,,SC,,UTAH VALLEY U,UT,,,40.2787807484,-111.7144267,11/02/2011 08:05:14 AM,11/07/2011 09:04:36 AM,POINT (-111.714427 40.278781),19,Wednesday,Alarm
810823263,17UV01287,06/24/2017 12:06:02 AM,CITIZEN ASSIST,Description: Citizen Assist,,900 Block W UNIVERSITY PKWY,,OREM,UT,,,40.2753,-111.717,06/27/2017 10:13:43 AM,07/07/2017 10:13:43 AM,POINT (-111.717 40.2753),0,Saturday,Community Policing
86368434,11UV01759,11/01/2011 12:11:43 AM,DISORDERLY CONDUCT,Description: Disorderly Conduct,,L4,,UTAH VALLEY U,UT,,,40.2806807484,-111.7182867,11/08/2011 09:05:19 AM,11/13/2011 09:05:03 AM,POINT (-111.718287 40.280681),0,Tuesday,Disorder
808717195,17UV01129,06/07/2017 01:06:17 AM,AGENCY ASSIST,Description: Agency Assist,,700 Block S GENEVA RD,,OREM,UT,,,40.2841,-111.733,06/10/2017 10:06:25 AM,06/20/2017 10:12:35 AM,POINT (-111.733 40.2841),1,Wednesday,Community Policing
86983444,11UV01793,11/05/2011 07:11:32 PM,CITIZEN ASSIST,Description: Citizen Assist,,LDS,,UTAH VALLEY U,UT,,,40.2795407484,-111.7137067,11/12/2011 09:05:11 AM,11/17/2011 09:04:46 AM,POINT (-111.713707 40.279541),19,Saturday,Community Policing
729570746,15UV01300,09/02/2015 06:09:45 PM,CITIZEN ASSIST,Description: Citizen Assist,,UVLA,,UTAH VALLEY U,UT,,,40.2802,-111.717,09/07/2015 08:20:00 AM,09/15/2015 08:17:55 AM,POINT (-111.717 40.2802),18,Wednesday,Community Policing
84016284,11UV01582,10/05/2011 02:10:36 PM,TRAFFIC ACCIDENT-REPORTABLE,Description: Traffic Accident-Reportable,,L8,,UTAH VALLEY U,UT,,,40.2819407484,-111.7201667,10/12/2011 08:04:58 AM,10/17/2011 08:05:04 AM,POINT (-111.720167 40.281941),14,Wednesday,Traffic
72276609,11UV00948,06/28/2011 02:06:55 PM,THEFT-PROPERTY-BUILDING,Description: Theft-Property-Building,,GT,,UTAH VALLEY U,UT,,,40.1847687484,-111.5445867,07/05/2011 08:04:39 AM,07/10/2011 08:04:51 AM,POINT (-111.544587 40.184769),14,Tuesday,Theft
743956775,16UV00041,01/07/2016 01:01:19 PM,AGENCY ASSIST,Description: Agency Assist,,1300 Block W 900 SOUTH ST,,OREM,UT,,,40.2802,-111.726,01/12/2016 06:40:16 AM,01/20/2016 09:00:10 AM,POINT (-111.726 40.2802),13,Thursday,Community Policing
743956770,16UV00010,01/03/2016 07:01:04 PM,PROPERTY DAMAGE-NON VANDALISM,Description: Property Damage-Non Vandalism,,800 Block S 50 WEST ST,,OREM,UT,,,40.2809,-111.696,01/12/2016 06:40:16 AM,01/16/2016 09:00:34 AM,POINT (-111.696 40.2809),19,Sunday,Property Crime Residential
856798652,18UV01068,06/06/2018 12:06:53 AM,TRAFFIC OFFENSE,Description: Traffic Offense,,700 Block S GENEVA RD,,OREM,UT,,,40.2837,-111.733,06/09/2018 09:26:50 AM,06/18/2018 10:06:45 PM,POINT (-111.733 40.2837),0,Wednesday,Traffic
833558082,18UV00230,02/04/2018 02:02:52 AM,AGENCY ASSIST,Description: Agency Assist,,1200 Block S SANDHILL RD,,OREM,UT,,,40.2737,-111.713,02/07/2018 07:36:13 AM,02/18/2018 06:25:16 AM,POINT (-111.713 40.2737),2,Sunday,Community Policing
