column 1,address_1,case_number,city,clearance_type,created_at,day_of_week,hour_of_day,incident_datetime,incident_description,incident_id,incident_type_primary,latitude,location,longitude,parent_incident_type,state,updated_at,zip
7924,2000 Block N 2750 W,C2024393,CLINTON,,04/02/2019 10:41:01 AM,Monday,9,04/01/2019 09:49:38 AM,Found Property,912508132,CAD: Found Property,41.1425502,"{'type': 'Point', 'coordinates': [-112.0787215, 41.1425502]}",-112.0787215,Other,UT,04/08/2019 08:42:45 AM,84015.0
7925,3200 Block W 1800 N,C2024413,CLINTON,,04/02/2019 10:41:01 AM,Monday,11,04/01/2019 11:06:38 AM,Fraud Activities,912508134,CAD: Fraud Activities,41.1403113,"{'type': 'Point', 'coordinates': [-112.0873816, 41.1403113]}",-112.0873816,Theft,UT,04/08/2019 08:42:46 AM,84015.0
7926,2400 Block N 690 W,C2024452,CLINTON,,04/02/2019 10:41:01 AM,Monday,13,04/01/2019 01:38:55 PM,Welfare Check,912508135,CAD: Welfare Check,41.1489938,"{'type': 'Point', 'coordinates': [-112.0386326, 41.1489938]}",-112.0386326,Other,UT,04/08/2019 08:42:46 AM,84015.0
7927,800 Block N 2525 W,C2024498,CLINTON,,04/02/2019 10:41:01 AM,Monday,15,04/01/2019 03:06:23 PM,Traffic Enforcement,912508137,CAD: Traffic Enforcement,41.1253732,"{'type': 'Point', 'coordinates': [-112.074706, 41.1253732]}",-112.074706,Traffic,UT,04/08/2019 08:42:46 AM,84015.0
7928,800 Block W 1420 N,C2024519,CLINTON,,04/02/2019 10:41:01 AM,Monday,15,04/01/2019 03:39:06 PM,Fraud Activities,912508138,CAD: Fraud Activities,41.1346646,"{'type': 'Point', 'coordinates': [-112.0412994, 41.1346646]}",-112.0412994,Theft,UT,04/08/2019 08:42:46 AM,84015.0
7929,1500 Block W 800 N,C2024542,CLINTON,,04/02/2019 10:41:01 AM,Monday,16,04/01/2019 04:32:50 PM,Traffic Stop,912508139,CAD: Traffic Stop,41.1253441,"{'type': 'Point', 'coordinates': [-112.0548656, 41.1253441]}",-112.0548656,Vehicle Stop,UT,04/08/2019 08:42:46 AM,84015.0
7930,2500 Block W 1445 N,C2024546,CLINTON,,04/02/2019 10:41:01 AM,Monday,16,04/01/2019 04:38:28 PM,Assist Citizen,912508148,CAD: Assist Citizen,41.1345117,"{'type': 'Point', 'coordinates': [-112.0742027, 41.1345117]}",-112.0742027,Other,UT,04/08/2019 08:42:46 AM,84015.0
7931,1300 Block N 1500 W,C2024567,CLINTON,,04/02/2019 10:41:01 AM,Monday,17,04/01/2019 05:23:39 PM,Reckless Driver,912508152,CAD: Reckless Driver,41.1326251,"{'type': 'Point', 'coordinates': [-112.0548441, 41.1326251]}",-112.0548441,Traffic,UT,04/08/2019 08:42:47 AM,84015.0
7932,2200 Block N 1200 W,C2024592,CLINTON,,04/02/2019 10:41:01 AM,Monday,18,04/01/2019 06:19:18 PM,Welfare Check,912508149,CAD: Welfare Check,41.1456122,"{'type': 'Point', 'coordinates': [-112.0484391, 41.1456122]}",-112.0484391,Other,UT,04/08/2019 08:42:47 AM,84015.0
7933,2000 Block N 2750 W,C2024739,CLINTON,,04/03/2019 09:44:10 AM,Tuesday,1,04/02/2019 01:26:23 AM,Extra Patrol On Site Call,912669375,CAD: Extra Patrol On Site Call,41.1425502,"{'type': 'Point', 'coordinates': [-112.0787215, 41.1425502]}",-112.0787215,Community Policing,UT,04/08/2019 08:42:49 AM,84015.0
7934,2500 Block W 2650 N,C2024766,CLINTON,,04/03/2019 09:44:10 AM,Tuesday,5,04/02/2019 05:55:42 AM,Vehicle Burglary,912669378,CAD: Vehicle Burglary,41.15241899999999,"{'type': 'Point', 'coordinates': [-112.0740888, 41.15241899999999]}",-112.0740888,Theft from Vehicle,UT,04/08/2019 08:42:49 AM,84015.0
