Unnamed Column,address_1,case_number,city,clearance_type,country,created_at,day_of_week,hour_of_day,incident_datetime,incident_description,incident_id,incident_type_primary,latitude,location,longitude,parent_incident_type,state,updated_at,zip
7936,1500 Block E 150 S,20171536,"PRICE, UTAH (CARBON)",,,10/13/2017 07:07:46 AM,Thursday,23,10/12/2017 11:20:00 PM,PUBLIC INTOX / Public Intoxication,822102097,[PCPD] Public Intoxication,39.5976624,"{'type': 'Point', 'coordinates': [-110.7870447, 39.5976624]}",-110.7870447,Disorder,UT,02/28/2018 08:07:38 AM,84501
7937,100 Block E 200 NORTH,20171538,"PRICE, UTAH (CARBON)",,,10/14/2017 07:07:46 AM,Friday,11,10/13/2017 11:21:00 AM,THEFT / Theft Other,822189233,[PCPD] Theft Other,39.602766,"{'type': 'Point', 'coordinates': [-110.808563, 39.602766]}",-110.808563,Theft,UT,02/28/2018 08:07:38 AM,84501
7938,100 Block E 400 SOUTH,20161562,PRICE,,,10/29/2016 05:09:57 AM,Friday,19,10/28/2016 07:48:00 PM,"CONTROLLED SUBSTANCE / Narcotic Equipment, Possession",779266883,"[PCPD] Narcotic Equipment, Possession",39.5936997,"{'type': 'Point', 'coordinates': [-110.8092034, 39.5936997]}",-110.8092034,Drugs,UT,04/25/2017 07:12:32 AM,84501
7939,700 Block E 300 S,20170664,PRICE,,,05/08/2017 07:07:16 AM,Sunday,2,05/07/2017 02:10:00 AM,MEDICAL ALARM / Medical Alarm,804528113,[PCPD] Medical Alarm,39.595081,"{'type': 'Point', 'coordinates': [-110.796637, 39.595081]}",-110.796637,Alarm,UT,11/02/2017 07:07:11 AM,84501
7940,1100 Block E 1000 N,20170667,PRICE,,,05/09/2017 07:07:17 AM,Monday,0,05/08/2017 12:58:00 AM,"CONTROLLED SUBSTANCE / Narcotic Equipment, Possession",804625384,"[PCPD] Narcotic Equipment, Possession",39.6152223,"{'type': 'Point', 'coordinates': [-110.7961107, 39.6152223]}",-110.7961107,Drugs,UT,11/03/2017 07:07:29 AM,84501
7941,1000 Block S MAIN ST,20170669,PRICE,,,05/09/2017 07:07:17 AM,Monday,12,05/08/2017 12:44:00 PM,"TRAFFIC ACCIDENT / Traffic Accident, Injury",804625386,"[PCPD] Traffic Accident, Injury",39.5994102,"{'type': 'Point', 'coordinates': [-110.7958997, 39.5994102]}",-110.7958997,Traffic,UT,11/03/2017 07:07:15 AM,84501
7942,100 Block N CARBONVILLE RD,20170670,CARBONVILLE,,,05/09/2017 07:07:17 AM,Monday,13,05/08/2017 01:56:00 PM,"THEFT / Larceny, from Yard/Land",804625387,"[PCPD] Larceny, from Yard/Land",39.6030198,"{'type': 'Point', 'coordinates': [-110.8211638, 39.6030198]}",-110.8211638,Theft,UT,11/03/2017 07:07:15 AM,84501
7943,200 Block HOSPITAL DRIVE,2017059,PRICE,,,05/16/2017 07:07:20 AM,Sunday,0,05/14/2017 12:00:00 AM,"CONTROLLED SUBSTANCE / Heroin, Sell",805387630,"[PCPD] Heroin, Sell",39.60305290000001,"{'type': 'Point', 'coordinates': [-110.8307523, 39.6030529]}",-110.8307523,Drugs,UT,11/09/2017 08:07:30 AM,84501
7944,700 Block E MAIN ST,20161563,PRICE,,,10/29/2016 05:09:57 AM,Friday,22,10/28/2016 10:07:00 PM,"CONTROLLED SUBSTANCE / Synthetic Narcotic, Possession",779266884,"[PCPD] Synthetic Narcotic, Possession",39.598855,"{'type': 'Point', 'coordinates': [-110.796265, 39.598855]}",-110.796265,Drugs,UT,04/25/2017 07:12:32 AM,84501
7945,200 Block S MAIN ST,20161565,PRICE,,,10/30/2016 05:09:55 AM,Saturday,13,10/29/2016 01:47:00 PM,THEFT / Shoplifting,779330740,[PCPD] Shoplifting,39.599877,"{'type': 'Point', 'coordinates': [-110.806318, 39.599877]}",-110.806318,Theft,UT,04/26/2017 07:09:28 AM,84501
7946,700 Block N 400 E,20161566,PRICE,,,10/30/2016 05:09:55 AM,Saturday,14,10/29/2016 02:52:00 PM,ASSAULT / Simple Assault,779330741,[PCPD] Simple Assault,39.612481,"{'type': 'Point', 'coordinates': [-110.80363, 39.612481]}",-110.80363,Assault,UT,04/26/2017 07:10:42 AM,84501
7947,200 Block S MAIN ST,20161569,PRICE,,,10/31/2016 05:09:59 AM,Sunday,14,10/30/2016 02:50:00 PM,THEFT / Shoplifting,779446725,[PCPD] Shoplifting,39.599877,"{'type': 'Point', 'coordinates': [-110.806318, 39.599877]}",-110.806318,Theft,UT,04/27/2017 07:11:05 AM,84501
7948,300 Block W 400 N,20161571,PRICE,,,10/31/2016 05:09:59 AM,Sunday,19,10/30/2016 07:56:00 PM,"TRAFFIC ACCIDENT / Traffic Accident, Vehicle Damage",779446727,"[PCPD] Traffic Accident, Vehicle Damage",39.606425,"{'type': 'Point', 'coordinates': [-110.815237, 39.606425]}",-110.815237,Traffic,UT,04/27/2017 07:11:05 AM,84501
7949,100 Block WHITMORE SQUARE,2016090,EAST CARBON,,,11/02/2016 05:10:02 AM,Monday,0,10/31/2016 12:00:00 AM,"CONTROLLED SUBSTANCE / Synthetic Narcotic, Sell",779593282,"[PCPD] Synthetic Narcotic, Sell",39.5450343,"{'type': 'Point', 'coordinates': [-110.4250294, 39.5450343]}",-110.4250294,Drugs,UT,04/28/2017 07:10:22 AM,84520
